,AppName,TCID,STATUS,EXEDATE,ENV|CODE|DATA|REQ,TestCaseID,WeekDay,Special,Day Weight,Function,Defect,mWeekDay,mSpecial
0,OnePlan,1,Fail,1/1/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10001,Friday,New Year,8.0,0.0,Data,3,5.0
1,OnePlan,2,Fail,1/2/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10002,Saturday,0,3.0,0.0,Data,3,0.0
2,OnePlan,3,Fail,1/3/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10003,Sunday,0,4.0,0.0,Data,4,0.0
3,OnePlan,4,Pass,1/4/2016,0,10004,Monday,0,1.0,0.0,0.0,1,0.0
4,OnePlan,5,Pass,1/5/2016,0,10005,Tuesday,0,1.0,0.0,0.0,1,0.0
5,OnePlan,6,Fail,1/6/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data",10006,Wednesday,0,1.0,0.0,Environment,1,0.0
6,OnePlan,7,Pass,1/7/2016,0,10007,Thursday,0,1.0,0.0,0.0,1,0.0
7,OnePlan,8,Pass,1/8/2016,0,10008,Friday,0,3.0,0.0,0.0,3,0.0
8,OnePlan,9,Pass,1/9/2016,0,10009,Saturday,0,3.0,0.0,0.0,3,0.0
9,OnePlan,10,Pass,1/10/2016,0,10010,Sunday,0,4.0,0.0,0.0,4,0.0
10,OnePlan,11,Fail,1/11/2016,"PROD2.0|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data",10011,Monday,0,1.0,0.0,Environment,1,0.0
11,OnePlan,12,Fail,1/12/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing,10012,Tuesday,0,1.0,0.0,Functional,1,0.0
12,OnePlan,13,Fail,1/13/2016,PROD2.0|import numpy as np|numpy: Package not found|importing,10013,Wednesday,0,1.0,0.0,Data,1,0.0
13,OnePlan,14,Pass,1/14/2016,0,10014,Thursday,0,1.0,0.0,0.0,1,0.0
14,OnePlan,15,Fail,1/15/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10015,Friday,0,3.0,0.0,Requirement,3,0.0
15,OnePlan,16,Pass,1/16/2016,0,10016,Saturday,0,3.0,0.0,0.0,3,0.0
16,OnePlan,17,Fail,1/17/2016,UAT2.0|import pandasa as pd|pandasa: Package not found|importing,10017,Sunday,0,4.0,0.0,Environment,4,0.0
17,OnePlan,18,Pass,1/18/2016,0,10018,Monday,0,1.0,0.0,0.0,1,0.0
18,OnePlan,19,Pass,1/19/2016,0,10019,Tuesday,0,1.0,0.0,0.0,1,0.0
19,OnePlan,20,Pass,1/20/2016,0,10020,Wednesday,0,1.0,0.0,0.0,1,0.0
20,OnePlan,21,Pass,1/21/2016,0,10021,Thursday,0,1.0,0.0,0.0,1,0.0
21,OnePlan,22,Pass,1/22/2016,0,10022,Friday,0,3.0,0.0,0.0,3,0.0
22,OnePlan,23,Fail,1/23/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10023,Saturday,0,3.0,0.0,Requirement,3,0.0
23,OnePlan,24,Fail,1/24/2016,UAT2.0|form.submit(name[0])|Array index out of bounds|Need to specify name,10024,Sunday,0,4.0,0.0,Functional,4,0.0
24,OnePlan,25,Pass,1/25/2016,0,10025,Monday,0,1.0,0.0,0.0,1,0.0
25,OnePlan,26,Fail,1/26/2016,DEV2.0|plt.show()|displaying graph without plotting it|plotting,10026,Tuesday,0,1.0,0.0,Environment,1,0.0
26,OnePlan,27,Fail,1/27/2016,STG2.0|for i in Age|list index out of range|looping,10027,Wednesday,0,1.0,0.0,Requirement,1,0.0
27,OnePlan,28,Pass,1/28/2016,0,10028,Thursday,0,1.0,0.0,0.0,1,0.0
28,OnePlan,29,Pass,1/29/2016,0,10029,Friday,0,3.0,0.0,0.0,3,0.0
29,OnePlan,30,Pass,1/30/2016,0,10030,Saturday,0,3.0,0.0,0.0,3,0.0
30,OnePlan,31,Fail,1/31/2016,STG2.0|for i in Age|list index out of range|looping,10031,Sunday,0,4.0,0.0,Functional,4,0.0
31,OnePlan,32,Pass,2/1/2016,0,10032,Monday,0,1.0,0.0,0.0,1,0.0
32,OnePlan,33,Fail,2/2/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10033,Tuesday,0,1.0,0.0,Functional,1,0.0
33,OnePlan,34,Pass,2/3/2016,0,10034,Wednesday,0,1.0,0.0,0.0,1,0.0
34,OnePlan,35,Fail,2/4/2016,"STG2.0|for i,j in range()|range expected 1 arguments|parsing",10035,Thursday,0,1.0,0.0,Data,1,0.0
35,OnePlan,36,Pass,2/5/2016,0,10036,Friday,0,3.0,0.0,0.0,3,0.0
36,OnePlan,37,Pass,2/6/2016,0,10037,Saturday,0,3.0,0.0,0.0,3,0.0
37,OnePlan,38,Fail,2/7/2016,DEV2.0|print(df.columns)|df: undefined dataframe|retrive data,10038,Sunday,0,4.0,0.0,Data,4,0.0
38,OnePlan,39,Pass,2/8/2016,0,10039,Monday,0,1.0,0.0,0.0,1,0.0
39,OnePlan,40,Pass,2/9/2016,0,10040,Tuesday,0,1.0,0.0,0.0,1,0.0
40,OnePlan,41,Fail,2/10/2016,PROD2.0|import seaborn as sns|seaborn: Package not found|Coloring,10041,Wednesday,0,1.0,0.0,Data,1,0.0
41,OnePlan,42,Fail,2/11/2016,DEV2.0|plt.show()|plt:undefined name|displaying,10042,Thursday,0,1.0,0.0,Requirement,1,0.0
42,OnePlan,43,Pass,2/12/2016,0,10043,Friday,0,3.0,0.0,0.0,3,0.0
43,OnePlan,44,Pass,2/13/2016,0,10044,Saturday,0,3.0,0.0,0.0,3,0.0
44,OnePlan,45,Fail,2/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10045,Sunday,0,4.0,0.0,Environment,4,0.0
45,OnePlan,46,Fail,2/15/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10046,Monday,0,1.0,0.0,Requirement,1,0.0
46,OnePlan,47,Pass,2/16/2016,0,10047,Tuesday,0,1.0,0.0,0.0,1,0.0
47,OnePlan,48,Pass,2/17/2016,0,10048,Wednesday,0,1.0,0.0,0.0,1,0.0
48,OnePlan,49,Pass,2/18/2016,0,10049,Thursday,0,1.0,0.0,0.0,1,0.0
49,OnePlan,50,Fail,2/19/2016,"STG2.0|for i in range(0,2)|List out of Index [23]|looping",10050,Friday,0,3.0,0.0,Data,3,0.0
50,OnePlan,51,Fail,2/20/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10051,Saturday,0,3.0,0.0,Data,3,0.0
51,OnePlan,52,Pass,2/21/2016,0,10052,Sunday,0,4.0,0.0,0.0,4,0.0
52,OnePlan,53,Pass,2/22/2016,0,10053,Monday,0,1.0,0.0,0.0,1,0.0
53,OnePlan,54,Pass,2/23/2016,0,10054,Tuesday,0,1.0,0.0,0.0,1,0.0
54,OnePlan,55,Fail,2/24/2016,STG2.0| if i>5 |SyntaxError: invalid syntax |decision control,10055,Wednesday,0,1.0,0.0,Environment,1,0.0
55,OnePlan,56,Fail,2/25/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10056,Thursday,0,1.0,0.0,Environment,1,0.0
56,OnePlan,57,Pass,2/26/2016,0,10057,Friday,0,3.0,0.0,0.0,3,0.0
57,OnePlan,58,Pass,2/27/2016,0,10058,Saturday,0,3.0,0.0,0.0,3,0.0
58,OnePlan,59,Fail,2/28/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10059,Sunday,0,4.0,0.0,Data,4,0.0
59,OnePlan,60,Fail,2/29/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10060,Monday,0,1.0,0.0,Functional,1,0.0
60,OnePlan,61,Pass,3/1/2016,0,10061,Tuesday,0,1.0,0.0,0.0,1,0.0
61,OnePlan,62,Pass,3/2/2016,0,10062,Wednesday,0,1.0,0.0,0.0,1,0.0
62,OnePlan,63,Fail,3/3/2016,STG2.0|for i in Age|list index out of range|looping,10063,Thursday,0,1.0,0.0,Functional,1,0.0
63,OnePlan,64,Pass,3/4/2016,0,10064,Friday,0,3.0,0.0,0.0,3,0.0
64,OnePlan,65,Fail,3/5/2016,UAT2.0|fun(20)|arguments undefined in function|pass by value ,10065,Saturday,0,3.0,0.0,Requirement,3,0.0
65,OnePlan,66,Pass,3/6/2016,0,10066,Sunday,0,4.0,0.0,0.0,4,0.0
66,OnePlan,67,Pass,3/7/2016,0,10067,Monday,0,1.0,0.0,0.0,1,0.0
67,OnePlan,68,Pass,3/8/2016,0,10068,Tuesday,0,1.0,0.0,0.0,1,0.0
68,OnePlan,69,Pass,3/9/2016,0,10069,Wednesday,0,1.0,0.0,0.0,1,0.0
69,OnePlan,70,Pass,3/10/2016,0,10070,Thursday,0,1.0,0.0,0.0,1,0.0
70,OnePlan,71,Fail,3/11/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data",10071,Friday,0,3.0,0.0,Data,3,0.0
71,OnePlan,72,Pass,3/12/2016,0,10072,Saturday,0,3.0,0.0,0.0,3,0.0
72,OnePlan,73,Fail,3/13/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing,10073,Sunday,0,4.0,0.0,Functional,4,0.0
73,OnePlan,74,Fail,3/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10074,Monday,0,1.0,0.0,Data,1,0.0
74,OnePlan,75,Pass,3/15/2016,0,10075,Tuesday,0,1.0,0.0,0.0,1,0.0
75,OnePlan,76,Pass,3/16/2016,0,10076,Wednesday,0,1.0,0.0,0.0,1,0.0
76,OnePlan,77,Pass,3/17/2016,0,10077,Thursday,0,1.0,0.0,0.0,1,0.0
77,OnePlan,78,Pass,3/18/2016,0,10078,Friday,0,3.0,0.0,0.0,3,0.0
78,OnePlan,79,Pass,3/19/2016,0,10079,Saturday,0,3.0,0.0,0.0,3,0.0
79,OnePlan,80,Pass,3/20/2016,0,10080,Sunday,0,4.0,0.0,0.0,4,0.0
80,OnePlan,81,Fail,3/21/2016,"DEV2.0|print(data.[""Name""])|No column named ""Name""|retrive data",10081,Monday,0,1.0,0.0,Environment,1,0.0
81,OnePlan,82,Fail,3/22/2016,DEV2.0|plt.show()|plt:undefined name|displaying,10082,Tuesday,0,1.0,0.0,Functional,1,0.0
82,OnePlan,83,Fail,3/23/2016,UAT2.0|import matplotlib as plt|matplotlib: Package not found|importing,10083,Wednesday,0,1.0,0.0,Data,1,0.0
83,OnePlan,84,Fail,3/24/2016,"DEV2.0|plt.plot(x,y)|x,y : undefined variables|plotting",10084,Thursday,0,1.0,0.0,Environment,1,0.0
84,OnePlan,85,Fail,3/25/2016,PROD2.0|import numpy as np|numpy: Package not found|importing,10085,Friday,0,3.0,0.0,Requirement,3,0.0
85,OnePlan,86,Pass,3/26/2016,0,10086,Saturday,0,3.0,0.0,0.0,3,0.0
86,OnePlan,87,Pass,3/27/2016,0,10087,Sunday,0,4.0,0.0,0.0,4,0.0
87,OnePlan,88,Fail,3/28/2016,"PROD2.0|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data",10088,Monday,0,1.0,0.0,Environment,1,0.0
88,OnePlan,89,Fail,3/29/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10089,Tuesday,0,1.0,0.0,Functional,1,0.0
89,OnePlan,90,Pass,3/30/2016,0,10090,Wednesday,0,1.0,0.0,0.0,1,0.0
90,OnePlan,91,Pass,3/31/2016,0,10091,Thursday,0,1.0,0.0,0.0,1,0.0
91,OnePlan,92,Pass,4/1/2016,0,10092,Friday,0,3.0,0.0,0.0,3,0.0
92,OnePlan,93,Pass,4/2/2016,0,10093,Saturday,0,3.0,0.0,0.0,3,0.0
93,OnePlan,94,Pass,4/3/2016,0,10094,Sunday,0,4.0,0.0,0.0,4,0.0
94,OnePlan,95,Pass,4/4/2016,0,10095,Monday,0,1.0,0.0,0.0,1,0.0
95,OnePlan,96,Pass,4/5/2016,0,10096,Tuesday,0,1.0,0.0,0.0,1,0.0
96,OnePlan,97,Pass,4/6/2016,0,10097,Wednesday,0,1.0,0.0,0.0,1,0.0
97,OnePlan,98,Fail,4/7/2016,"DEV2.0|for val in ""string"": |val : undefined variable|iteration",10098,Thursday,0,1.0,0.0,Environment,1,0.0
98,OnePlan,99,Pass,4/8/2016,0,10099,Friday,0,3.0,0.0,0.0,3,0.0
99,OnePlan,100,Pass,4/9/2016,0,10100,Saturday,0,3.0,0.0,0.0,3,0.0
100,OnePlan,101,Pass,4/10/2016,0,10101,Sunday,0,4.0,0.0,0.0,4,0.0
101,OnePlan,102,Fail,4/11/2016,STG2.0|while var >! 0:  |invalid operator|validation,10102,Monday,0,1.0,0.0,Data,1,0.0
102,OnePlan,103,Pass,4/12/2016,0,10103,Tuesday,0,1.0,0.0,0.0,1,0.0
103,OnePlan,104,Pass,4/13/2016,0,10104,Wednesday,0,1.0,0.0,0.0,1,0.0
104,OnePlan,105,Pass,4/14/2016,0,10105,Thursday,0,1.0,0.0,0.0,1,0.0
105,OnePlan,106,Pass,4/15/2016,0,10106,Friday,0,3.0,0.0,0.0,3,0.0
106,OnePlan,107,Fail,4/16/2016,UAT2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|visualise,10107,Saturday,0,3.0,0.0,Data,3,0.0
107,OnePlan,108,Pass,4/17/2016,0,10108,Sunday,0,4.0,0.0,0.0,4,0.0
108,OnePlan,109,Pass,4/18/2016,0,10109,Monday,0,1.0,0.0,0.0,1,0.0
109,OnePlan,110,Fail,4/19/2016,"UAT2.0|return func(*args, **kw)|InterruptedError|Handle Interrupt Error",10110,Tuesday,0,1.0,0.0,Environment,1,0.0
110,OnePlan,111,Pass,4/20/2016,0,10111,Wednesday,0,1.0,0.0,0.0,1,0.0
